store_id,year,state,shore,empft,emppt,nmgrs,wage_st,pentree,fte
449,1992,0,0,0,25,3,4.869999886,0,15.5
462,1992,0,0,0,0,0,0,0,0
443,1992,0,0,4,19,4,4.25,1.799999952,17.5
496,1992,0,0,10,15,3,5,0.730000019,20.5
46,1992,0,0,30,15,3,0,0.519999981,40.5
488,1992,0,0,0,0,0,0,0,0
40,1992,0,0,10,20,7,4.25,0.800000012,27
39,1992,0,0,1,32,2,4.25,0.519999981,19
440,1992,0,0,0,25,3,4.25,2.00999999,15.5
506,1992,0,0,0,0,0,0,0,0
45,1992,0,0,0,24,6,4.25,0.860000014,18
48,1992,0,0,6,20,3,4.25,0.629999995,19
444,1992,0,0,0,0,0,0,0,0
430,1992,0,0,0,0,0,0,0,0
57,1992,0,0,30,10,3,4.670000076,0.899999976,38
470,1992,0,0,10.5,30,3,5.5,0.939999998,28.5
522,1992,0,0,2,30,4,4.349999905,0.939999998,21
493,1992,0,0,27,12,3,5,2.00999999,36
491,1992,0,0,4,25,2,4.5,0.949999988,18.5
434,1992,0,0,15,50,5,4.25,0,45
511,1992,0,0,4,16,3,4.75,1.049999952,15
503,1992,0,0,7.5,14,4,4.75,0.910000026,18.5
501,1992,0,0,14,15,3,4.25,0.939999998,24.5
445,1992,0,0,50,35,3,5,0.939999998,70.5
446,1992,0,0,0,0,3,4.5,0.939999998,0
58,1992,0,0,0,0,0,0,0,0
47,1992,0,0,25,15,0,4.5,0.860000014,0
451,1992,0,0,10,17,5,5,0.959999979,23.5
474,1992,0,0,6,9,3,5,1.00999999,13.5
515,1992,0,0,7,16,4,5,1.159999967,19
498,1992,0,0,0,0,0,0,0,0
450,1992,0,0,2,21,3,4.75,0.839999974,15.5
438,1992,0,0,0,9,3,4.25,2.430000067,7.5
473,1992,0,0,5,27,4,4.75,0.889999986,22.5
468,1992,0,0,40,30,3,5,0.949999988,58
514,1992,0,0,5,20,3,4.5,0.939999998,18
510,1992,0,0,0,0,0,0,0,0
521,1992,0,0,2.5,20,3,4.25,0.519999981,15.5
476,1992,0,0,6,30,3,4.25,0.910000026,24
59,1992,0,0,0,15,3,4.25,0.810000002,10.5
483,1992,0,0,1,15,1,5,2.319999933,9.5
454,1992,0,0,1,9,3,4.5,2.529999971,8.5
60,1992,0,0,10,20,5,4.25,0.860000014,25
42,1992,0,0,17,4,5,4.5,0.860000014,24
455,1992,0,0,2,8,5,5.25,2.319999933,11
469,1992,0,0,8,27,5,5,0.959999979,26.5
62,1992,0,0,0,31,5,5,0.949999988,20.5
489,1992,0,0,5,23,2,5,0.939999998,18.5
458,1992,0,0,2,10,2,5,2.319999933,9
37,1992,0,0,0,0,0,0,0,0
